function,db,func_child_cnt,func_child,table_child_cnt,table_child
BIF_Service_Gateway_Service_Enable,VisionOne,2,"['slog_ubtaudit', 'BIF_Service_Gateway_Appliance']",1,['CLP_Account_License']
XDR_adv_features_DIR_Apps,VisionOne,2,"['XDR_adv_features_Search', 'XDR_adv_features_OAT']",0,[]
CLP_WHO_PROVISION_EAI,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
ZTSA_customer_Rule_Configuration,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules']",0,[]
Func_CLP_Account_UBT,VisionOne,2,"['slog_ubtaudit', 'Func_NPS_In_Past_90days']",7,"['Account_Intelligence', 'CLP_Account_License_Daily', 'slog_category', 'V1_user_account', '_CLP_Account_UBT_Daily', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
Trilogy_Enabled_Data_Source,VisionOne,2,"['GET_ZTRI_SENSOR_STATUS_RAW', 'GET_TRILOGY_SENSOR_LOGS']",3,"['V1_Engagement_Score', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
ZTSA_CLP_Score_Raw,VisionOne,2,"['Get_ZTSA_Rules', 'CLP_WHO_USE_ZTSA']",3,"['sase_tdl', 'xdr_pendo_events_flattened', 'xdr_pendo_raw_events']"
Func_Hubble_MAP_Data_Source_By_Risk_Factor,VisionOne,2,"['GET_TRILOGY_PRODUCT_CODE_MAPPING', 'Func_Hubble_MAP_Data_Source_Type']",0,[]
V1_Feature_Adoption_Change,VisionOne,2,"['slog_ubtaudit', 'GET_FEATURE_ADOPTION_RATE']",0,[]
R2209AutpOpenPayGuard,Consumer,2,"['R2209User', 'R2209FirstPayGuardUsage']",1,['telemetry_collector_ti']
TPI_customer_behavior,VisionOne,2,"['xdr_pendo_raw_event', 'slog_ubtaudit']",0,[]
Pendo_Get_Journey_With_Slog,VisionOne,2,"['xdr_pendo_raw_event', 'slog_ubtaudit']",1,['xdr_pendo_track_types']
CLP_WHO_VISIT_V1,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
tmp_get_siem_only_customer,VisionOne,2,"['mxdr_customer', 'slog_ubtaudit']",0,[]
CE_get_security_configure_metrics,VisionOne,2,"['CE_get_dmm_enable_disable', 'CE_get_ti_configure_so']",0,[]
NI_onboard_customers,VisionOne,2,"['slog_system', 'NI_customer_base']",0,[]
Vision_One_Account_App_Usage_Detail,hubble,2,"['slog_ubtaudit_pii', 'slog_ubtaudit']",1,['CLP_Account_License']
TPI_enabled_cus_3rd_sharing_etl,VisionOne,2,"['slog_ubtaudit', 'TPI_sLog_service_gateway_v2']",0,[]
Assessment_common_attribute,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Assessment_cloudMail_overview']",2,"['Federation', 'CLP_Account_License']"
Assessment_cloudMail,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",3,"['Federation', 'xdr_pendo_events_flattened', 'CLP_Account_License']"
CE_get_wb_touch_rate,VisionOne,2,"['XDR_touched_WB', 'XDR_touched_WB_include_export']",0,[]
CE_get_wb_investigate_rate,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",6,"['tmsas_matomo_log_visit', 'tmsas_matomo_log_action_v2', 'V1_role', 'tmsas_matomo_log_link_visit_action', 'rca_mapping_workbench', 'tmsas_matomo_log_action']"
Vision_One_Account_User_Role_list,hubble,2,"['slog_ubtaudit_pii', 'slog_ubtaudit']",1,['CLP_Account_License']
Func_CLP_Account_UBT_Channel,VisionOne,2,"['slog_ubtaudit', 'Poseidon_Voucher_Lines']",2,"['CLP_Account_License_Daily', 'CLP_Account_License']"
CE_get_OAT_investigate_bak,VisionOne,2,"['xdr_matomo_events', 'XDR_get_investigate_response']",1,['V1_role']
CE_get_wb_severity_touch,VisionOne,2,"['XDR_created_WB', 'slog_ubtaudit']",0,[]
CE_get_OAT_engagement,VisionOne,2,"['CE_get_OAT_copy_to_clipboard', 'CE_get_OAT_List_v2']",0,[]
TRI_get_engagement_score,VisionOne,2,"['TRI_get_enabled_data_source_count', 'TRI_get_engagement_score_preprocess']",1,['CLP_Account_License']
TRI_get_engagement_score_preprocess,VisionOne,2,"['xdr_matomo_events', 'TRI_get_enter_page_raw_data']",0,[]
TRI_get_enabled_data_source_count,VisionOne,2,"['TRI_get_enabled_data_source_detail', 'Func_Hubble_MAP_Data_Source_Type']",0,[]
Func_CLP_Account_CES_Manual,VisionOne,2,"['SASE_ACTIVE_CLP_FUNC', 'slog_ubtaudit']",4,"['CLP_Account_License_Daily', 'xdr_pendo_events_flattened', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
NI_flywheel_30_credit_Cus,VisionOne,2,"['slog_ubtaudit', 'NI_customer_base']",0,[]
TRI_get_engagement_score_preprocess_bak,VisionOne,2,"['xdr_matomo_events', 'TRI_get_enter_page_raw_data']",0,[]
TRI_get_engagement_score_bak,VisionOne,2,"['TRI_get_enabled_data_source_count', 'TRI_get_engagement_score_preprocess']",1,['CLP_Account_License']
CE_get_wb_investigate_rate_bak,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",6,"['tmsas_matomo_log_visit', 'tmsas_matomo_log_action_v2', 'V1_role', 'tmsas_matomo_log_link_visit_action', 'rca_mapping_workbench', 'tmsas_matomo_log_action']"
CE_get_wb_touch_rate_bak,VisionOne,2,"['XDR_touched_WB', 'XDR_touched_WB_include_export']",0,[]
R2211VPN,Consumer,2,"['R2211User', 'R2301VPN']",1,['telemetry_collector_ti']
ZTSA_Credit_CLP_Info,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",1,['CLP_Account_License']
NI_onboard_customers_daily,VisionOne,2,"['slog_system', 'NI_customer_base_daily']",0,[]
R2209EmailDefender,Consumer,2,"['R2209User', 'R2211User']",1,['telemetry_collector']
App_visit,VisionOne,2,"['xdr_pendo_raw_event', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
tmp_get_ui_only_customer,VisionOne,2,"['mxdr_customer', 'slog_ubtaudit']",0,[]
Reports_Overview_Latest_30d,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Visit']",0,[]
tmp_get_both_customer,VisionOne,2,"['mxdr_customer', 'slog_ubtaudit']",0,[]
tmp_get_customer,VisionOne,2,"['mxdr_customer', 'slog_ubtaudit']",0,[]
get_customer_ubt_type,VisionOne,2,"['mxdr_customer', 'slog_ubtaudit']",0,[]
R2209R2211MainConsoleDetailAnalysis,Consumer,2,"['R2209User', 'R2211User']",1,['telemetry_collector_ti']
GET_ZERI_CUSTOMER_COUNT_BY_RISKFACTOR_AND_SENSORS,VisionOne,2,"['GET_ZERI_SENSOR_LOGCOUNT_DAILY', 'CLP_WHO_INUSE_ZTRI']",0,[]
NI_NS_paired_SG,VisionOne,2,"['slog_ubtaudit', 'NI_customer_base']",0,[]
CLP_WHO_INUSE_ZTRI_DAILY,VisionOne,2,"['CLP_WHO_VISIT_ZTRI_DAILY', 'GET_ZERI_SENSOR_LOGCOUNT_DAILY']",2,"['sase_tdl', 'dataLakeMetrics']"
ddi_Fn_template_003_active_cus_ddi_latest_feedback,VisionOne,2,"['ddi_Fn_guid_with_latest_feedback_in_1d', 'ddi_Fn_valid_cus']",1,['MAK_Account_GUID']
BIF_credit_allocation_daily_snapshot,VisionOne,2,"['slog_ubtaudit', 'BIF_ZTSA_Credit_Allocation_His']",0,[]
ddi_Fn_template_002_valid_cus_ddi_latest_feedback_in_90d,VisionOne,2,"['ddi_Fn_valid_cus', 'ddi_Fn_guid_with_latest_feedback_in_90d']",1,['MAK_Account_GUID']
CE_get_investigate_metrics,VisionOne,2,"['XDR_get_OAT_investigate', 'XDR_get_workbench_investigate']",0,[]
XDR_get_workbench_investigate,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",6,"['tmsas_matomo_log_visit', 'tmsas_matomo_log_action_v2', 'V1_role', 'tmsas_matomo_log_link_visit_action', 'rca_mapping_workbench', 'tmsas_matomo_log_action']"
XDR_get_search_investigate,VisionOne,2,"['slog_ubtaudit', 'XDR_get_investigate_response']",0,[]
vw_C1_Deployed_Instance_by_Dimension,CloudOne,2,"['vw_C1_Usage_Extend', 'vw_C1_NSVA']",0,[]
Assessment_cloudMail_overview,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",3,"['Federation', 'xdr_pendo_events_flattened', 'CLP_Account_License']"
V1_Current_Onboard_Customer_3rd_Party_Integration_Employee,VisionOne,2,"['slog_ubtaudit', 'V1_Current_Onboard_Customer_Console_Usage_Employee']",0,[]
V1_Current_Onboard_Customer_3rd_Party_Integration,VisionOne,2,"['slog_ubtaudit', 'V1_Current_Onboard_Customer_Console_Usage']",0,[]
SG_Appliance_Service_Status,VisionOne,2,"['slog_ubtaudit', 'SG_Appliance_Registered']",0,[]
Trial_Credit_Customer_Detail,VisionOne,2,"['CE_get_wb_severity_touch', 'Credit_Customer_Source']",4,"['V1_Engagement_Score', 'CLP_Account_UBT', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
ZTSA_CLP_Score_Raw_v2,VisionOne,2,"['Get_ZTSA_Rules', 'CLP_WHO_USE_ZTSA']",4,"['sase_tdl', 'xdr_pendo_events_flattened', 'xdr_pendo_raw_events', 'CLP_Account_License']"
XDR_investigate_DIR_Apps,VisionOne,2,"['XDR_get_OAT_investigate', 'XDR_get_workbench_investigate']",0,[]
ZTSA_Permssion_Access_Deployment_30d_Old,VisionOne,2,"['slog_ubtaudit', 'SASE_EXTERNAL_CLP_FUNC_V2']",1,['CLP_Account_License']
XDR_touched_DIR_Apps,VisionOne,2,"['XDR_touched_OAT', 'XDR_touched_WB_base']",0,[]
Tree_View_SO_Management,VisionOne,2,"['slog_trace', 'slog_ubtaudit']",2,"['xdr_pendo_events_flattened', 'CLP_Account_UBT_Daily']"
Vision_One_Account_App_Usage_Trending_Executive_Dashboard_UI,hubble,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'TRI_get_enter_page_raw_data']",0,[]
Vision_One_Account_App_Usage_Trending_Report_Management_UI,hubble,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'Reports_Inuse']",0,[]
NEW_ZTSA_Rule_Configured,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules']",0,[]
Func_NPS_Historical_Data_PII,VisionOne,2,"['v_xdr_pendo_guide_events', 'slog_ubtaudit']",2,"['V1_user_account', 'CLP_Account_License']"
Vision_One_Account_Summary_Risk_Insight_Data_Source_Mapping,hubble,2,"['Func_Hubble_MAP_Data_Source_Type', 'Func_Hubble_MAP_Data_Source_By_Risk_Factor']",0,[]
NEW_ZTSA_Agent_Deployment,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'GET_OS_Category']",1,['xdr_endpoint_agent']
NEW_ZTSA_rule_enforcement_template,VisionOne,2,"['Get_ZTSA_Rules', 'CLP_WHO_DEPLOY_ZTSA']",1,['sase_tdl']
Tree_View_ZTSA,VisionOne,2,"['Func_V1_Accumulated_Cus', 'ZTSA_Customer_CLP_date_time']",0,[]
vw_C1_Deployed_Instance_new,CloudOne,2,"['vw_C1_Usage_Extend', 'vw_C1_NSVA']",0,[]
NEW_ZTSA_privat_internet_assess_Riskrule,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules']",0,[]
Revenue_Suite_Item_List,hubble,2,"['GetCurrentMonth', 'Invoice_Detail']",0,[]
BIF_email_sensor_daily_snapshot_new,VisionOne,2,"['slog_ubtaudit', 'CLP_EAI_EMAIL_SENSOR']",1,['cas_product_feedback']
Tree_View_Attack_Surface_Discovery,VisionOne,2,"['TRI_get_enter_page_metrics_unpivot', 'Func_pendo_track_type_mapping']",2,"['Accounts', 'xdr_pendo_events_flattened']"
GET_ZTRI_CUSTOMER_COUNT_BY_RISKFACTOR_AND_SENSORS,VisionOne,2,"['GET_ZERI_SENSOR_LOGCOUNT_DAILY', 'CLP_WHO_INUSE_ZTRI']",0,[]
CE_get_response_features,VisionOne,2,"['XDR_get_decisive_response', 'XDR_get_investigate_response']",0,[]
CE_get_tad_find_solutions,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",0,[]
NEW_ZTSA_customers_daily_weekly_monthly,VisionOne,2,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_ZTSA']",0,[]
ZTSA_ZTNA_Basic_Get_Provision,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
Vision_One_Account_App_Usage_Trending_Attack_Surface_Discovery_UI,hubble,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'TRI_get_enter_page_raw_data']",0,[]
Reports_generated_successful,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
GET_ASSET_CRITICALITY_STAR_CUSTOMER_VISIT_ASSETS,VisionOne,2,"['xdr_matomo_events_v2', 'xdr_matomo_events_get_event_actions']",1,['sase_tdl']
Vision_One_Account_App_Usage_Trending_slog,hubble,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'slog_ubtaudit']",0,[]
vw_C1_Deployed_Instance,CloudOne,2,"['vw_C1_Usage_Extend', 'vw_C1_NSVA']",0,[]
Func_CLP_Account_CES_Full_Backup_20220218,VisionOne,2,"['slog_ubtaudit', 'CLP_WHO_INUSE_ZTRI']",4,"['CLP_Account_License_Daily', 'xdr_pendo_events_flattened', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
Func_CLP_Account_CES_Backup_20220218,VisionOne,2,"['slog_ubtaudit', 'CLP_WHO_INUSE_ZTRI']",4,"['CLP_Account_License_Daily', 'xdr_pendo_events_flattened', '_CLP_Account_UBT_Daily', 'CLP_Account_License']"
_ApexOne_Agent_Setting_for_Early_Warning,VisionOne,2,"['ApexOne_Server_BIF_FeatureFlagHiddenKey', 'ApexOne_RT_Setting_Action']",6,"['WebReputationSetting', 'PredictiveMachineLearningSetting', 'RealTimeScanSetting', 'AgentBuildInfo', 'BehaviorMonitorSetting', 'ServerInfo']"
Func_C1_Account_License,CloudOne,2,"['vw_C1_Subscription', 'vw_C1_Entitlement_Daily_Extend']",10,"['C1_Account_Usage_Raw', 'C1_Account_Usage', 'MAK_Channel_Daily', 'C1_Account_Mapping', 'CDE_Product_Hierarchy', 'C1_Account_Usage_Daily', 'CLP_Account_UBT', 'Ref_Valid_Customer_Details_Suite_L2', 'AWS_Channel_Daily', 'CLP_Account_UBT_Daily']"
Func_AWS_Channel_Daily,CloudOne,2,"['vw_C1_Subscription', 'Product_Name']",3,"['REV_Sales_Inv_Lines_AWSM', 'AWSM_Offer_Feed', 'awsm_daily_usage']"
RA_Assessment_ZTRI_Action_Taken_Customer,VisionOne,2,"['slog_ubtaudit', 'RA_Assessment_Customer']",0,[]
RA_Assessment_ZTRI_Configured_Customer,VisionOne,2,"['slog_ubtaudit', 'RA_Assessment_Customer']",0,[]
_DS_Server_Setting_for_Early_Warning_BIF,VisionOne,2,"['DS_File_List', 'Product_Name']",3,"['MAK_Account_GUID', 'ds_product_feedback', 'ds_host']"
_DDI_Setting_for_Early_Warning,VisionOne,2,"['DDI_Valid_Cus', 'Product_Name']",2,"['MAK_Account_GUID', 'ddi_product_feedback']"
CE_get_trilogy_features,VisionOne,2,"['TRI_get_enter_page_raw_data', 'TRI_get_ExecutiveDashboard_used_temp']",0,[]
V1_Growth_Hypothesis_Customer,VisionOne_Report,2,"['slog_ubtaudit', 'DDI_Settings_related_to_SOC_Users']",13,"['MAK_Account_GUID', 'Account_Intelligence', 'V1_Navigator_Guide_Customer', 'ApexOne_Agent_Setting_for_Early_Warning', 'V1_Growth_Pypothesis_Raw_Data', 'V1_Growth_Pypothesis_Customer_Info', 'V1_Navigator_Guide_Questions', 'V1_Growth_Pypothesis_Support_Case_Raw_Data', 'V1_Growth_Pypothesis_Support_Case_BAS_Raw_Data', 'cas_product_feedback', 'osce_product_feedback', 'V1_user_account', 'CLP_Account_License']"
RA_Assessment_Trigger_WB_Customer,VisionOne,2,"['XDR_created_WB', 'RA_Assessment_Customer']",0,[]
RA_Assessment_Completed_Customer,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
Vision_One_Account_App_Usage_Trending_Forensics_And_Analysis,VisionOne,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'Func_Forensics_And_Analysis_Use']",0,[]
RA_Assessment_Customer,VisionOne,2,"['slog_ubtaudit', 'RA_CLP_V1_License']",4,"['Assessment_Data', 'Fill_Out_Form', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
ZTSA_Survey_Browser_Auth_Solution,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
ZTSA_Survey_App_Template,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
Tree_View_Attack_Surface_Discovery_bak0223,VisionOne,2,"['Func_V1_Accumulated_Cus', 'Func_pendo_track_type_mapping']",2,"['Accounts', 'xdr_pendo_events_flattened']"
Revenue_YTD,hubble,2,"['GetCurrentMonth', 'Invoice_Detail']",0,[]
CE_get_OAT_engagement_2,VisionOne,2,"['CE_get_OAT_copy_to_clipboard', 'CE_get_OAT_List']",0,[]
Revenue_Trending,hubble,2,"['GetCurrentMonth', 'Invoice_Detail']",0,[]
NI_onboard_customers_daily_Louis_Temp,VisionOne,2,"['slog_system', 'NI_customer_base_daily']",0,[]
NI_ddi_connection_status_daily,VisionOne,2,"['slog_system', 'NI_customer_base_daily']",0,[]
Vision_One_Account_App_Usage_Trending_Network_Intrusion_Prevention_UI,hubble,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'Func_NIPS_Use']",0,[]
ZTSA_ZTNA_Debug,VisionOne,2,"['slog_ubtaudit', 'CLP_WHO_USE_ZTSA']",4,"['sase_tdl', 'xdr_endpoint_agent', 'xdr_pendo_events_flattened', 'xdr_xbc_agent_run_result']"
Revenue_Suite_List,hubble,2,"['GetCurrentMonth', 'Invoice_Detail']",0,[]
Reports_Overview,VisionOne,2,"['Reports_Overview_Latest_30d', 'Reports_Overview_Before_30d']",0,[]
Reports_InUse_Daily,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Inuse']",0,[]
XDR_touched_OAT,VisionOne,2,"['xdr_matomo_events', 'slog_ubtaudit']",1,['V1_role']
Reports_InUse_30d,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Inuse']",1,['CLP_Account_License']
NI_onboard_customers_Louis_Temp,VisionOne,2,"['slog_system', 'NI_customer_base']",0,[]
NI_ddi_connection_status,VisionOne,2,"['slog_system', 'NI_customer_base']",0,[]
Reports_Visit_CLP,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_Visit']",0,[]
get_incidentview_info,VisionOne,2,"['slog_trace', 'alert_mapping_product_layer']",1,['pte_workbench']
Reports_Schedule_Frequncy,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",0,[]
Func_V1_Product_Connect_Status_for_Tableau,VisionOne,2,"['Func_Product_Connect_PRD_Mapping', 'Product_Name']",2,"['_CLP_Account_UBT_Daily', 'CLP_Account_License']"
ZTSA_Customer_CLP_date_time,VisionOne,2,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY']",2,"['dataLakeMetrics', 'CLP_Account_License']"
GET_ZTRI_SENSOR_STATUS,VisionOne,2,"['CLP_WHO_INUSE_ZTRI', 'GET_ZTRI_SENSOR_STATUS_RAW']",0,[]
Reports_Generated_CLP_30d,VisionOne,2,"['CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Reports_generated_successful']",0,[]
ddi_Fn_template_001_valid_cus_ddi_latest_feedback,VisionOne,2,"['ddi_Fn_guid_with_latest_feedback', 'ddi_Fn_valid_cus']",1,['MAK_Account_GUID']
Vision_One_Account_App_Usage_Trending_Forensics_And_Analysis_UI,hubble,2,"['Vision_One_Account_App_Usage_Get_CLP_By_MAK', 'Func_Forensics_And_Analysis_Use']",0,[]
TPI_enabled_cus_3rd_sharing_etl_v2,VisionOne,2,"['slog_ubtaudit', 'TPI_sLog_service_gateway_v2']",0,[]
ZTSA_ZTNA_Debug_V1,VisionOne,2,"['slog_ubtaudit', 'CLP_WHO_USE_ZTSA']",4,"['sase_tdl', 'xdr_endpoint_agent', 'xdr_pendo_events_flattened', 'xdr_xbc_agent_run_result']"
ZTSA_Customer_CLP_date_overviewv2,VisionOne,2,"['slog_ubtaudit', 'CES2_Zero_Trust_Secure_Accessv2']",0,[]
NEW_ZTSA_customer_daily_weekly_monthly,VisionOne,2,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_ZTSA']",0,[]
NEW_ZTSA_customer_MOM,VisionOne,2,"['CLP_WHO_VISIT_V1', 'CLP_WHO_VISIT_ZTSA']",0,[]
DVASS_Get_Endpoint_Metrics,VisionOne,2,"['DVASS_Get_Vulnerability_detail', 'DVASS_Get_Endpoint_Information']",0,[]
V1_Growth_Hypothesis_Customer_old,VisionOne_Report,1,['slog_ubtaudit'],9,"['Account_Intelligence', 'V1_Navigator_Guide_Customer', 'V1_Growth_Pypothesis_Raw_Data', 'V1_Navigator_Guide_Questions', 'V1_Growth_Pypothesis_Support_Case_Raw_Data', 'cas_product_feedback', 'V1_user_account', 'CLP_Account_UBT_Daily', 'CLP_Account_License']"
SWG_customer_usage,VisionOne,1,['slog_ubtaudit'],1,['CLP_Account_License']
GET_ATTACK_PROTECTION_LATER,VisionOne,1,['GET_PCODE_PROTECTION_LAYER'],1,['sase_tdl']
Reports_Overview_Funnel,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],1,['sase_tdl']
Func_Sandbox_Submission,VisionOne,1,['slog_ubtaudit'],1,['CLP_Account_License']
GET_DISCOVERED_ATTACK_SURFACE,VisionOne,1,['GET_DISCOVERED_ATTACK_SURFACE_RAW3'],0,[]
NEW_ZTSA_deploy_rule_configure,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],0,[]
RA_Completed_Assessment_Customer,VisionOne,1,['slog_ubtaudit'],0,[]
GET_ZTRI_SENSOR_LOGS_V2,VisionOne,1,['GET_PRODUCTCODE_FROM_LOGSOURCE'],1,['dataLakeMetrics']
CE_get_OAT_List_bak,VisionOne,1,['slog_ubtaudit'],0,[]
TRI_get_enabled_data_source_count_Monica,VisionOne,1,['TRI_get_enabled_data_source_detail_Monica'],0,[]
Reports_onetime_funnel,VisionOne,1,['Reports_Onetime'],0,[]
enable_user_account_aad_cus_list,VisionOne,1,['TRI_get_enabled_data_source_detail'],0,[]
enable_user_account_related_data_source_cus_list,VisionOne,1,['TRI_get_enabled_data_source_detail'],0,[]
Reports_Accumulated_CLP_And_Reports,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],0,[]
etl_get_titanium_legalshield_weekly_report_metrics,Consumer,1,['etl_get_legalshield_latest_subscription_count'],1,['partner_integration_report']
CE_get_search_investigate_bak,VisionOne,1,['XDR_get_investigate_response'],0,[]
CE_get_OAT_List_without_sth_bak,VisionOne,1,['slog_ubtaudit'],0,[]
Assessment_cloudMail_start,VisionOne,1,['slog_ubtaudit'],0,[]
Expired_Customer,Global_IS,1,['Partner_Revenue'],3,"['SCH_Sales_Rep', 'ARL_NABU_Opportunity', 'ARL_NABU_Opportunity_Header']"
CLP_WHO_USE_ZTSA_test,VisionOne,1,['slog_ubtaudit'],2,"['sase_tdl', 'dataLakeMetrics']"
Trilogy_retention_rate,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],0,[]
RA_Assessment_Customer_EPP_Data,VisionOne,1,['RA_Assessment_Customer'],1,['xdr_xbc_agent_run_result']
CE_get_wb_close_rate_bak,VisionOne,1,['slog_ubtaudit'],0,[]
BIF_email_sensor_daily_snapshot_20220325_backup_before_new_logic,VisionOne,1,['slog_ubtaudit'],1,['cas_product_feedback']
Credit_inApp_Promotion_Flatten_table,VisionOne,1,['Credit_Usage_Table'],2,"['CLP_Account_License', '_slog_ubtaudit']"
BIF_Service_Gateway_Appliance,VisionOne,1,['slog_ubtaudit'],1,['CLP_Account_License']
CE_get_search_watchlist_features,VisionOne,1,['slog_ubtaudit'],0,[]
CE_get_wb_decisive_response_rate_bak,VisionOne,1,['slog_ubtaudit'],0,[]
R2211SecurityReport,Consumer,1,['R2211User'],1,['telemetry_collector_ti']
CE_get_wb_FP_close_rate_bak,VisionOne,1,['slog_ubtaudit'],0,[]
legalshield_man_sn_hotfix,Consumer,1,['etl_get_legalshield_latest_subscription_count'],8,"['partner_integration_report', 'telemetry_collector', 'legalshield_licenses', 'eclog', 'pwp_user', 'connext_seats', 'connext_licenses', 'connext_packages']"
CE_get_wb_visit_bak,VisionOne,1,['slog_ubtaudit'],0,[]
Assessment_cloudMail_start_acc,VisionOne,1,['slog_ubtaudit'],0,[]
V1_Current_Onboard_Customer_Console_Usage,VisionOne,1,['V1_Current_Onboard_Customer_Seat_Range'],1,['CLP_Account_UBT_Daily']
NEW_ZTSA_IAM_Customer_daily,VisionOne,1,['Get_ZTSA_Rules'],1,['sase_tdl']
CLP_WHO_VISIT_EAI,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],0,[]
CLP_WHO_VISIT_ZTRI_DAILY_withuser,VisionOne,1,['CLP_WHO_VISIT_V1'],1,['xdr_pendo_events_flattened']
GET_TRILOGY_SENSOR_LOGS,VisionOne,1,['GET_PRODUCTCODE_FROM_LOGSOURCE'],0,[]
Func_CLP_Account_License,VisionOne,1,['slog_ubtaudit'],5,"['SCH_Partner_Account', 'CLP_Account_License_Daily', 'ARL_Customer_Annual_Value', 'CDE_Product_Hierarchy', 'CLP_Account_License']"
Reports_scheduled_successful,VisionOne,1,['slog_system'],0,[]
Func_V1_Deployed_bySensor_Summary,VisionOne,1,['Func_V1_Deployed_bySensor'],0,[]
CE_get_wb_visit_by_API,VisionOne,1,['slog_ubtaudit'],0,[]
CE_get_wb_touch_by_API,VisionOne,1,['slog_ubtaudit'],0,[]
NEW_ZTSA_privateassess_customers_daily,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],0,[]
CE_get_wb_investigate_detail,VisionOne,1,['XDR_get_workbench_investigate'],0,[]
Reports_Visit_tab,VisionOne,1,['CLP_WITH_V1_ACTIVE_LICENSE_DAILY'],0,[]
etl_get_legalshield_metrics,Consumer,1,['etl_get_legalshield_latest_subscription_count'],8,"['partner_integration_report', 'telemetry_collector', 'legalshield_licenses', 'eclog', 'pwp_user', 'connext_seats', 'connext_licenses', 'connext_packages']"
etl_get_pwm_cloud_mode_user,Consumer,1,['etl_biz_keys_by_product'],5,"['tm_account', 'tc_unique_device', 'pwm_feature_usage', 'etl_pwm_license', 'tc_sn_device']"
R2301VPN,Consumer,1,['R2301User'],1,['telemetry_collector_ti']
GET_IF_CUSTOMERS,VisionOne,1,['xdr_pendo_raw_event'],0,[]
NEW_ZTSA_visit_customer_Main_Entries_sourcev2,VisionOne,1,['NEW_ZTSA_visit_customer_Main_Entries_source'],0,[]
