function,db,func_child_cnt,func_child,table_child_cnt,table_child
GET_V1_PAGE,VisionOne,7,"['GET_V1_RI_PAGE', 'GET_V1_XDR_PAGE', 'GET_V1_TI_PAGE', 'GET_V1_WAA_PAGE', 'GET_V1_ZTSA_PAGE', 'GET_V1_MOBILE_PAGE', 'GET_V1_EAI_PAGE']",0,[]
ZTSA_ZTNA_Basic_Get_Configuration,VisionOne,7,"['ZTSA_ZTNA_Basic_Get_Provision', 'ZTSA_ZTNA_Basic_Get_IAM', 'ZTSA_ZTNA_Basic_Get_App', 'ZTSA_ZTNA_Basic_Get_Connector', 'ZTSA_ZTNA_Basic_Get_PRule', 'ZTSA_ZTNA_Basic_Get_SSO', 'ZTSA_ZTNA_Basic_Get_Agent']",0,[]
CE_get_wb_engagement,VisionOne,7,"['XDR_created_WB', 'CE_get_wb_close_rate', 'CE_get_wb_decisive_response_rate', 'CE_get_wb_FP_close_rate', 'CE_get_wb_investigate_rate', 'CE_get_wb_touch_rate', 'CE_get_wb_visit_v2']",0,[]
Func_CLP_Account_UBT_Simple_Pre_20200901,VisionOne,7,"['slog_ubtaudit', 'Func_CLP_Account_UBT_Channel', 'MOBILE_SECURITY_ENROLLED_DEVICE_FUNC', 'Func_CLP_Account_UBT_App_Usage_Pre_20200901', 'Func_Product_Connect_Status_Hubble', 'Func_Sandbox_Manually_Submission', 'Func_Sandbox_Response_Submission']",10,"['c1ws_endpoint_sensor_daily_snapshot', 'CLP_Account_License_Daily', 'CLP_Account_CES_Daily', 'C1_Account_Usage_Daily', 'network_sensor_daily_snapshot', 'email_sensor_daily_snapshot', 'credit_allocation_daily_snapshot', 'endpoint_sensor_daily_snapshot', 'MAK_iES_Sensor_Count', 'CLP_Account_License']"
ZTSA_ZTNA_Customer_Setting,VisionOne,6,"['slog_ubtaudit', 'CLP_WHO_VISIT_ZTSA', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules', 'CLP_WHO_DEPLOY_ZTSA', 'CLP_WHO_USE_ZTSA']",4,"['sase_tdl', 'xdr_endpoint_agent', 'xdr_pendo_events_flattened', 'xdr_xbc_agent_run_result']"
CES2_Risk_Insights,VisionOne,6,"['Reports_Inuse', 'TRI_get_enabled_data_source_count', 'RI_mitigate_or_prevent_risk_feature', 'RI_access_risk_feature', 'RI_general_feature', 'RI_visit_RI_apps']",1,['CLP_Account_License']
Func_CLP_Account_UBT_Simple,VisionOne,6,"['slog_ubtaudit', 'Func_CLP_Account_UBT_Channel', 'Func_Product_Connect_Status_Hubble', 'Func_Sandbox_Submission', 'Func_V1_App_Usage_by_CLP', 'Func_Mobile_Security_Enrolled_Customer']",11,"['C1_Account_Usage', 'c1ws_endpoint_sensor_daily_snapshot', 'CLP_Account_License_Daily', 'CLP_Account_CES_Daily', 'C1_Account_Usage_Daily', 'network_sensor_daily_snapshot', 'email_sensor_daily_snapshot', 'credit_allocation_daily_snapshot', 'endpoint_sensor_daily_snapshot', 'MAK_iES_Sensor_Count', 'CLP_Account_License']"
Func_CLP_Account_UBT_Simple_bak,VisionOne,6,"['slog_ubtaudit', 'Func_CLP_Account_UBT_Channel', 'Func_Product_Connect_Status_Hubble', 'Func_Sandbox_Submission', 'Func_V1_App_Usage_by_CLP', 'Func_Mobile_Security_Enrolled_Customer']",11,"['C1_Account_Usage', 'c1ws_endpoint_sensor_daily_snapshot', 'CLP_Account_License_Daily', 'CLP_Account_CES_Daily', 'C1_Account_Usage_Daily', 'network_sensor_daily_snapshot', 'email_sensor_daily_snapshot', 'credit_allocation_daily_snapshot', 'endpoint_sensor_daily_snapshot', 'MAK_iES_Sensor_Count', 'CLP_Account_License']"
swg_ubt_analysis,VisionOne,6,"['slog_ubtaudit', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'xdr_matomo_events_max', 'V1_Parse_Element_Click', 'ZTSA_Customer_CLP_date_time', 'ZTSA_ZTNA_Basic_Get_SSO']",1,['xdr_pendo_raw_events']
ZTSA_ZTNA_Customer_Profile,VisionOne,6,"['slog_ubtaudit', 'CLP_WHO_VISIT_ZTSA', 'CLP_WITH_V1_ACTIVE_LICENSE_DAILY', 'Get_ZTSA_Rules', 'CLP_WHO_DEPLOY_ZTSA', 'CLP_WHO_USE_ZTSA']",4,"['sase_tdl', 'xdr_endpoint_agent', 'xdr_pendo_events_flattened', 'xdr_xbc_agent_run_result']"
