function,table_child
Tree_View_Service_Gateway,xdr_pendo_raw_events
Tree_View_Executive_Dashboard,xdr_pendo_events_flattened
Customer_Profiles_ETL,CLP_Account_UBT
Customer_Profiles_ETL,MAK_Account_GUID
Customer_Profiles_ETL,osce_product_feedback
Customer_Profiles_ETL,MAK_Account_License
Customer_Profiles_ETL,CLP_Account_License
CES2_Workflow_and_Automation,xdr_pendo_raw_events
SaaS_Potential,ARL_NABU_Opportunity
SaaS_Potential,ARL_Inv_Lines_Extend_NABU
SaaS_Potential,ARL_Inv_Lines_Global
onelink_get_news_page_table,telemetry_collector
Func_ps_test,xdr_pendo_feature_events
Func_ps_test,xdr_pendo_events_flattened
func_ps_test_opt,xdr_pendo_feature_events
func_ps_test_opt,xdr_pendo_events_flattened
onelink_get_web_click_table,telemetry_collector
Func_ps_test_base,xdr_pendo_feature_events
Func_ps_test_base,xdr_pendo_events_flattened
Func_ps_test_backup,xdr_pendo_feature_events
Func_ps_test_backup,CLP_Account_License
Func_ps_test_backup,xdr_pendo_events_flattened
Func_C1_Account_Usage_Raw,C1_Account_Mapping
Func_C1_Account_Usage_Raw,AWS_Channel_Daily
Func_C1_Account_Usage_Raw,MAK_Channel_Daily
Func_C1_Account_Usage_Raw,C1_Usage
Func_C1_Account_Usage_Raw,C1_Entitlement_Daily
Upgrade_Opportunities,ARL_NABU_Opportunity
Upgrade_Opportunities,ARL_Inv_Lines_Extend_NABU
Upgrade_Opportunities,ARL_Inv_Lines_Global
_C1WS_Agent_Setting_for_Early_Warning,ds_product_feedback
_C1WS_Agent_Setting_for_Early_Warning,MAK_Account_GUID
_C1WS_Agent_Setting_for_Early_Warning,ds_host
ddi_Fn_template_003_active_cus_ddi_latest_feedback,MAK_Account_GUID
DDI_Settings_related_to_SOC_Users,MAK_Account_GUID
BIF_email_sensor_daily_snapshot,cas_product_feedback
onelink_get_one_link_sources,telemetry_collector
NEW_ZTSA_deploy_agent_with_traffic,xdr_endpoint_agent
NEW_ZTSA_deploy_agent_with_traffic,dataLakeMetrics
SG2_Appliance_Setting,CLP_Account_License
onelink_get_experience_portal_table,telemetry_collector
_C1WS_Server_Setting_for_Early_Warning,ds_product_feedback
_C1WS_Server_Setting_for_Early_Warning,MAK_Account_GUID
_C1WS_Server_Setting_for_Early_Warning,ds_host
_DS_Server_Setting_for_Early_Warning,ds_product_feedback
_DS_Server_Setting_for_Early_Warning,MAK_Account_GUID
_DS_Server_Setting_for_Early_Warning,ds_host
_DS_Agent_Setting_for_Early_Warning,ds_product_feedback
_DS_Agent_Setting_for_Early_Warning,MAK_Account_GUID
_DS_Agent_Setting_for_Early_Warning,ds_host
ZTSA_CLP_Score_Raw,sase_tdl
ZTSA_CLP_Score_Raw,xdr_pendo_raw_events
ZTSA_CLP_Score_Raw,xdr_pendo_events_flattened
BIF_Service_Gateway_Service_Customer_Enable,CLP_Account_License
Func_Security_Playbook_Use_Temp,trilogy3_wae_playbook
Func_Security_Playbook_Use_Temp,trilogy3_wae_triggered_task
ZTSA_CLP_Score_Raw_v2,sase_tdl
ZTSA_CLP_Score_Raw_v2,xdr_pendo_raw_events
ZTSA_CLP_Score_Raw_v2,CLP_Account_License
ZTSA_CLP_Score_Raw_v2,xdr_pendo_events_flattened
ZTSA_Customer_CLP,Federation
ZTSA_Customer_CLP,CLP_Account_License
BIF_Service_Gateway_Service_Enable,CLP_Account_License
ZTSA_Permssion_Access_Deployment_30d_Old,CLP_Account_License
Func_Security_Playbook_Use_Jerry,trilogy3_wae_playbook
Func_Security_Playbook_Use_Jerry,V1_role
Func_Security_Playbook_Use_Jerry,trilogy3_wae_triggered_task
Trilogy_Enabled_Data_Source,CLP_Account_UBT_Daily
Trilogy_Enabled_Data_Source,CLP_Account_License
Trilogy_Enabled_Data_Source,V1_Engagement_Score
V1_Flywheel_Product_Campaign_Promotion_Onboard,CLP_Account_License
Func_Security_Playbook_Use,trilogy3_wae_playbook
Func_Security_Playbook_Use,V1_role
Func_Security_Playbook_Use,trilogy3_wae_triggered_task
CES2_Threat_Intelligence,xdr_pendo_feature_events
CES2_Threat_Intelligence,xdr_pendo_events_flattened
CES2_Threat_Intelligence,xdr_pendo_features
RI_general_feature,xdr_pendo_events_flattened
Func_CLP_Account_UBT,V1_user_account
Func_CLP_Account_UBT,CLP_Account_UBT_Daily
Func_CLP_Account_UBT,Account_Intelligence
Func_CLP_Account_UBT,CLP_Account_License_Daily
Func_CLP_Account_UBT,CLP_Account_License
Func_CLP_Account_UBT,slog_category
Pendo_Get_Journey_With_Slog,xdr_pendo_track_types
CLP_WHO_INUSE_ZTRI,sase_tdl
CLP_WHO_INUSE_ZTRI,dataLakeMetrics
R2209AutpOpenPayGuard,telemetry_collector_ti
Func_CLP_Account_CES_Manual,CLP_Account_UBT_Daily
Func_CLP_Account_CES_Manual,CLP_Account_License_Daily
Func_CLP_Account_CES_Manual,CLP_Account_License
Func_CLP_Account_CES_Manual,xdr_pendo_events_flattened
Assessment_common_attribute,Federation
Assessment_common_attribute,CLP_Account_License
Assessment_cloudMail,Federation
Assessment_cloudMail,CLP_Account_License
Assessment_cloudMail,xdr_pendo_events_flattened
Vision_One_Account_User_Role_list,CLP_Account_License
CE_get_OAT_investigate_bak,V1_role
Func_CLP_Account_UBT_Channel,CLP_Account_License_Daily
Func_CLP_Account_UBT_Channel,CLP_Account_License
CE_get_wb_investigate_rate,tmsas_matomo_log_action_v2
CE_get_wb_investigate_rate,V1_role
CE_get_wb_investigate_rate,tmsas_matomo_log_visit
CE_get_wb_investigate_rate,tmsas_matomo_log_action
CE_get_wb_investigate_rate,tmsas_matomo_log_link_visit_action
CE_get_wb_investigate_rate,rca_mapping_workbench
CE_get_wb_investigate_rate_bak,tmsas_matomo_log_action_v2
CE_get_wb_investigate_rate_bak,V1_role
CE_get_wb_investigate_rate_bak,tmsas_matomo_log_visit
CE_get_wb_investigate_rate_bak,tmsas_matomo_log_action
CE_get_wb_investigate_rate_bak,tmsas_matomo_log_link_visit_action
CE_get_wb_investigate_rate_bak,rca_mapping_workbench
TRI_get_engagement_score,CLP_Account_License
TRI_get_engagement_score_bak,CLP_Account_License
R2211VPN,telemetry_collector_ti
ZTSA_Credit_CLP_Info,CLP_Account_License
Vision_One_Account_App_Usage_Detail,CLP_Account_License
R2209EmailDefender,telemetry_collector
ddi_Fn_template_002_valid_cus_ddi_latest_feedback_in_90d,MAK_Account_GUID
Assessment_cloudMail_overview,Federation
Assessment_cloudMail_overview,CLP_Account_License
Assessment_cloudMail_overview,xdr_pendo_events_flattened
R2209R2211MainConsoleDetailAnalysis,telemetry_collector_ti
Func_C1_Account_License,CLP_Account_UBT
Func_C1_Account_License,C1_Account_Mapping
Func_C1_Account_License,AWS_Channel_Daily
Func_C1_Account_License,Ref_Valid_Customer_Details_Suite_L2
Func_C1_Account_License,C1_Account_Usage_Raw
Func_C1_Account_License,CLP_Account_UBT_Daily
Func_C1_Account_License,C1_Account_Usage
Func_C1_Account_License,MAK_Channel_Daily
Func_C1_Account_License,CDE_Product_Hierarchy
Func_C1_Account_License,C1_Account_Usage_Daily
CLP_WHO_INUSE_ZTRI_DAILY,sase_tdl
CLP_WHO_INUSE_ZTRI_DAILY,dataLakeMetrics
Trial_Credit_Customer_Detail,CLP_Account_UBT
Trial_Credit_Customer_Detail,CLP_Account_UBT_Daily
Trial_Credit_Customer_Detail,CLP_Account_License
Trial_Credit_Customer_Detail,V1_Engagement_Score
RI_visit_RI_apps,xdr_pendo_events_flattened
GetDataSoucreMaxDate,CLP_Account_UBT_Daily
GetDataSoucreMaxDate,CLP_Account_License_Daily
GetDataSoucreMaxDate,C1_Account_License_Daily
GetDataSoucreMaxDate,C1_Account_Usage_Daily
GetDataSoucreMaxDate,V1_Engagement_Score_v2
Tree_View_Attack_Surface_Discovery_bak0223,xdr_pendo_events_flattened
Tree_View_Attack_Surface_Discovery_bak0223,Accounts
GET_ASSET_CRITICALITY_STAR_CUSTOMER_VISIT_ASSETS,sase_tdl
Tree_View_SO_Management,CLP_Account_UBT_Daily
Tree_View_SO_Management,xdr_pendo_events_flattened
Tree_View_Attack_Surface_Discovery,xdr_pendo_events_flattened
Tree_View_Attack_Surface_Discovery,Accounts
swg_ubt_analysisv2,xdr_pendo_raw_events
Func_NPS_Historical_Data_PII,V1_user_account
Func_NPS_Historical_Data_PII,CLP_Account_License
NEW_ZTSA_Agent_Deployment,xdr_endpoint_agent
NEW_ZTSA_rule_enforcement_template,sase_tdl
Func_Product_Connect_Status_Hubble,CLP_Account_License
V1_Growth_Hypothesis_Customer,V1_Growth_Pypothesis_Support_Case_Raw_Data
V1_Growth_Hypothesis_Customer,V1_Growth_Pypothesis_Raw_Data
V1_Growth_Hypothesis_Customer,V1_user_account
V1_Growth_Hypothesis_Customer,MAK_Account_GUID
V1_Growth_Hypothesis_Customer,V1_Navigator_Guide_Customer
V1_Growth_Hypothesis_Customer,Account_Intelligence
V1_Growth_Hypothesis_Customer,V1_Navigator_Guide_Questions
V1_Growth_Hypothesis_Customer,osce_product_feedback
V1_Growth_Hypothesis_Customer,CLP_Account_License
V1_Growth_Hypothesis_Customer,ApexOne_Agent_Setting_for_Early_Warning
V1_Growth_Hypothesis_Customer,V1_Growth_Pypothesis_Support_Case_BAS_Raw_Data
V1_Growth_Hypothesis_Customer,V1_Growth_Pypothesis_Customer_Info
V1_Growth_Hypothesis_Customer,cas_product_feedback
RA_Assessment_Customer,CLP_Account_UBT_Daily
RA_Assessment_Customer,Fill_Out_Form
RA_Assessment_Customer,CLP_Account_License
RA_Assessment_Customer,Assessment_Data
BIF_email_sensor_daily_snapshot_new,cas_product_feedback
_DDI_Setting_for_Early_Warning,MAK_Account_GUID
_DDI_Setting_for_Early_Warning,ddi_product_feedback
_DS_Server_Setting_for_Early_Warning_BIF,ds_product_feedback
_DS_Server_Setting_for_Early_Warning_BIF,MAK_Account_GUID
_DS_Server_Setting_for_Early_Warning_BIF,ds_host
Reports_InUse_30d,CLP_Account_License
get_incidentview_info,pte_workbench
ddi_Fn_template_001_valid_cus_ddi_latest_feedback,MAK_Account_GUID
Func_AWS_Channel_Daily,REV_Sales_Inv_Lines_AWSM
Func_AWS_Channel_Daily,awsm_daily_usage
Func_AWS_Channel_Daily,AWSM_Offer_Feed
_ApexOne_Agent_Setting_for_Early_Warning,AgentBuildInfo
_ApexOne_Agent_Setting_for_Early_Warning,PredictiveMachineLearningSetting
_ApexOne_Agent_Setting_for_Early_Warning,BehaviorMonitorSetting
_ApexOne_Agent_Setting_for_Early_Warning,RealTimeScanSetting
_ApexOne_Agent_Setting_for_Early_Warning,WebReputationSetting
_ApexOne_Agent_Setting_for_Early_Warning,ServerInfo
ZTSA_Customer_CLP_date_time,CLP_Account_License
ZTSA_Customer_CLP_date_time,dataLakeMetrics
